Epoch,Training_MSE,Validation_MSE
1,0.28860521972797076,0.28478068113327026
2,0.25141273602410247,0.2817149758338928
3,0.23610247346994495,0.25942695140838623
4,0.2290766812654518,0.2599530816078186
5,0.2229119493170992,0.2922782897949219
6,0.22320399204267793,0.24007666110992432
7,0.21350500441451523,0.2489071488380432
8,0.2132150565525196,0.2495482861995697
9,0.21595049802718277,0.24495862424373627
10,0.2156691832413784,0.23662972450256348
11,0.20965498320273274,0.2374250292778015
12,0.21007792934302033,0.24754177033901215
13,0.2115029294323239,0.24214759469032288
14,0.20532024169550953,0.24550709128379822
15,0.20390540889104924,0.23609857261180878
16,0.20216524219641843,0.24974314868450165
17,0.20153666840705498,0.22612741589546204
18,0.2021573747357798,0.23172752559185028
19,0.1975792847350525,0.23081234097480774
20,0.19686648371480667,0.23373182117938995
