Epoch,Training_MSE,Validation_MSE
1,0.31579136224071247,0.28390341997146606
2,0.2618617946686952,0.28279903531074524
3,0.24975139318580802,0.28656426072120667
4,0.22699278469194725,0.2552683651447296
5,0.21909659049228442,0.25646471977233887
6,0.21591112149556657,0.24697710573673248
7,0.21006880717372595,0.26226744055747986
8,0.20764463732749605,0.2574588358402252
9,0.23013382455227907,0.23966123163700104
10,0.2142673304795843,0.25123149156570435
11,0.20471616882573218,0.2660008668899536
12,0.20499892016202648,0.24602003395557404
13,0.2041949249785557,0.2410585880279541
14,0.19987685131809146,0.24560502171516418
15,0.196758640318686,0.2308441698551178
16,0.19393155324174413,0.22426947951316833
17,0.19123817074269317,0.21288222074508667
18,0.1890002550218631,0.21120290458202362
19,0.18550782454164214,0.2072635442018509
20,0.18606936990355394,0.20263338088989258
