Epoch,Training_MSE,Validation_MSE
1,0.2867659310898176,0.28735947608947754
2,0.268237341199541,0.2878028452396393
3,0.25699002377808056,0.26801684498786926
4,0.2325872322424867,0.2454618215560913
5,0.21967934071681983,0.244202122092247
6,0.21378768254411357,0.24768191576004028
7,0.21102627237038077,0.24146875739097595
8,0.20821607770831715,0.24395690858364105
9,0.2104048911590355,0.2390768975019455
10,0.2061501796227045,0.24836939573287964
11,0.20709207846348177,0.23061923682689667
12,0.20362849565783878,0.23095527291297913
13,0.20288733545859458,0.2338341772556305
14,0.19914571272209705,0.2399771511554718
15,0.19825661440211445,0.22982048988342285
16,0.1976971696843218,0.22386936843395233
17,0.1958211699056314,0.23171134293079376
18,0.19443534605673343,0.21955327689647675
19,0.19101404431073563,0.21479277312755585
20,0.19086578795503834,0.21006083488464355
