Epoch,Training_MSE,Validation_MSE
1,0.29934149277951433,0.2848300337791443
2,0.2739963585136978,0.2821241319179535
3,0.2647247725468709,0.2612362504005432
4,0.24301819422071005,0.2452440708875656
5,0.238807747297041,0.24543170630931854
6,0.23567136578676426,0.23964999616146088
7,0.23236361030832448,0.23836317658424377
8,0.2295834171890165,0.23625518381595612
9,0.22354488283912727,0.24230748414993286
10,0.22484509766397243,0.2350335568189621
11,0.2207093184415648,0.23297955095767975
12,0.2168582675021413,0.2342711240053177
13,0.21560887717454114,0.24357761442661285
14,0.2128630125272862,0.2264309525489807
15,0.22183410996224168,0.22984741628170013
16,0.2096296166025537,0.22402124106884003
17,0.20266964471361665,0.2169876992702484
18,0.19734121687537406,0.21936625242233276
19,0.19526782922243638,0.21205170452594757
20,0.20585568165639467,0.2298956960439682
