Epoch,Training_MSE,Validation_MSE
1,0.295640495788087,0.2848699688911438
2,0.2624277660145258,0.27654632925987244
3,0.2499774356607006,0.2620837092399597
4,0.22307603215615365,0.2665349841117859
5,0.21599471722806082,0.23656001687049866
6,0.21524698997395186,0.25566089153289795
7,0.2121954489516954,0.2558620572090149
8,0.20524245977911978,0.24034689366817474
9,0.20294579674220617,0.2496485859155655
10,0.20059326039990155,0.24642148613929749
11,0.19934527956303458,0.25283896923065186
12,0.20001087333871911,0.23730888962745667
13,0.1930353027135033,0.2339704930782318
14,0.1913566775729082,0.23655149340629578
15,0.18675956125999524,0.22378124296665192
16,0.18757173059141885,0.2215939462184906
17,0.18779221435244703,0.23361429572105408
18,0.18349860928152079,0.21160218119621277
19,0.17691532912340807,0.2099301815032959
20,0.17996232488196184,0.20518064498901367
