Epoch,Training_MSE,Validation_MSE
1,0.28026389690314524,0.2775295376777649
2,0.25731077696267857,0.28550705313682556
3,0.25161593203798127,0.2779960632324219
4,0.23461503034495748,0.25094547867774963
5,0.22009060187942947,0.2424863576889038
6,0.2168779834504062,0.2408776730298996
7,0.21596078648844344,0.23902678489685059
8,0.21507006400902814,0.31081148982048035
9,0.2189846761486073,0.2511492371559143
10,0.20830142298618076,0.2398606836795807
11,0.20597911964976914,0.2524383068084717
12,0.2053619775754102,0.2521812617778778
13,0.20266962709674483,0.24621936678886414
14,0.20415540354414066,0.23691491782665253
15,0.19830824353856583,0.24784110486507416
16,0.20524888702020583,0.2358207106590271
17,0.19879502334971233,0.23068048059940338
18,0.1989386588180621,0.23080974817276
19,0.196377688161584,0.2442888617515564
20,0.19716034312658037,0.2288770228624344
