Epoch,Training_MSE,Validation_MSE
1,0.2959807307555295,0.2815117835998535
2,0.27005041862801676,0.28667935729026794
3,0.27150885755077464,0.28351715207099915
4,0.2585800841843445,0.2528146505355835
5,0.24510712699394394,0.25537940859794617
6,0.2443744646828839,0.24549321830272675
7,0.2283085832209919,0.24576780200004578
8,0.21622369367747618,0.24188683927059174
9,0.2073897306219257,0.25030869245529175
10,0.20698818243497877,0.2225026935338974
11,0.1954760675891935,0.2154429703950882
12,0.1969639913647474,0.21238669753074646
13,0.1926938911719912,0.21121828258037567
14,0.1883685813646484,0.20689161121845245
15,0.18388987942358534,0.23132389783859253
16,0.18359681992454016,0.2000589519739151
17,0.17666191906978967,0.19830322265625
18,0.17645018104833912,0.20822501182556152
19,0.18115695413704738,0.19719338417053223
20,0.1729627377507815,0.1863112449645996
