Epoch,Training_MSE,Validation_MSE
1,0.2841014866357345,0.2822152078151703
2,0.2568573075375811,0.2772452235221863
3,0.23897430659898045,0.25679275393486023
4,0.2236225565634861,0.2607741355895996
5,0.21585486162941475,0.25201061367988586
6,0.2129207106290784,0.2501862347126007
7,0.21527377616905313,0.24619916081428528
8,0.20948817786882526,0.24393439292907715
9,0.20440213911287364,0.24632225930690765
10,0.20212698088193912,0.23760856688022614
11,0.20482000519588042,0.24345694482326508
12,0.20091723816691284,0.23516537249088287
13,0.19351523658073977,0.2195269614458084
14,0.19157397773559096,0.2200583964586258
15,0.18341525071213496,0.20795758068561554
16,0.18119089377909314,0.2133246213197708
17,0.17861841854667254,0.20574252307415009
18,0.18224524930002023,0.22085756063461304
19,0.17800296224715823,0.21900330483913422
20,0.17608546111652995,0.2026461660861969
