Epoch,Training_MSE,Validation_MSE
1,0.2990795668381564,0.28598156571388245
2,0.26502687955498827,0.28260961174964905
3,0.24823360487157414,0.27324944734573364
4,0.23066313466085295,0.26001855731010437
5,0.22309977891048244,0.24624930322170258
6,0.21469095036451225,0.24039794504642487
7,0.21227564329189555,0.2535647451877594
8,0.20993822718705915,0.25013718008995056
9,0.2056996928467947,0.2362811118364334
10,0.200668507749284,0.23682384192943573
11,0.2017339150811348,0.226150244474411
12,0.19250533013267004,0.2162584364414215
13,0.18858655660465026,0.21460182964801788
14,0.18458253698766325,0.20243896543979645
15,0.18413771985685753,0.20221886038780212
16,0.1870254125445242,0.21879072487354279
17,0.1812601958236385,0.19283829629421234
18,0.18909301595876926,0.20027895271778107
19,0.18812957466803415,0.2030412256717682
20,0.18228682057227497,0.20271575450897217
