Epoch,Training_MSE,Validation_MSE
1,0.30489586381311756,0.2841934561729431
2,0.26855233471440315,0.28715038299560547
3,0.24750362225187392,0.2679295837879181
4,0.22624660198230362,0.24841628968715668
5,0.218856831137649,0.2539602816104889
6,0.2154662431521737,0.24455420672893524
7,0.21346482417354662,0.24279876053333282
8,0.21189251524971314,0.24675698578357697
9,0.2083459291997378,0.2341955602169037
10,0.203646265052546,0.24671997129917145
11,0.20745481461400678,0.22949080169200897
12,0.20328301766026688,0.23753362894058228
13,0.19847189990363429,0.2375488430261612
14,0.20409112936085103,0.23076345026493073
15,0.19729680433201344,0.22428862750530243
16,0.20132369070902792,0.2230898141860962
17,0.19277534661233411,0.2233913689851761
18,0.1934913463569971,0.21881183981895447
19,0.19074490397168214,0.2147926241159439
20,0.1886668441148727,0.21052905917167664
