Epoch,Training_MSE,Validation_MSE
1,0.3003188530539145,0.2942715585231781
2,0.25418391575359983,0.29506468772888184
3,0.24310204248072248,0.25733718276023865
4,0.2261593369085205,0.24964608252048492
5,0.21894665665657678,0.24778150022029877
6,0.21652664777917835,0.24633106589317322
7,0.21373232954403495,0.24777819216251373
8,0.21242425480144575,0.2435958981513977
9,0.21054053570094156,0.2483254224061966
10,0.20900120481925924,0.25154340267181396
11,0.20808966919749566,0.25216493010520935
12,0.207148074328322,0.24784593284130096
13,0.2073317698481438,0.2653751075267792
14,0.20592986915691072,0.24413685500621796
15,0.20596565659329763,0.2387332171201706
16,0.2001267265134847,0.23546575009822845
17,0.19978832204577138,0.23708941042423248
18,0.19569809812365097,0.22697055339813232
19,0.19421344299618792,0.22172291576862335
20,0.1912643034720265,0.24273797869682312
