Epoch,Training_MSE,Validation_MSE
1,0.28231926188863166,0.2828739881515503
2,0.25730866244795836,0.28800415992736816
3,0.2510650554475926,0.2644321322441101
4,0.2349269268788795,0.25613048672676086
5,0.23117721752826093,0.2626195549964905
6,0.2244445287944981,0.255910187959671
7,0.2156158106220711,0.24955011904239655
8,0.21790066873350505,0.26287785172462463
9,0.2147608402983029,0.25240859389305115
10,0.21117300604828632,0.2441849559545517
11,0.2076348788225589,0.23693525791168213
12,0.20745351407731485,0.23703186213970184
13,0.2099528424332716,0.25287866592407227
14,0.2113900311454026,0.23329459130764008
15,0.20779031422471753,0.2215225100517273
16,0.21077134742356013,0.22768764197826385
17,0.20393844401347636,0.22843776643276215
18,0.19997002994068896,0.2286318987607956
19,0.2013537905611791,0.22303101420402527
20,0.1954327729417548,0.22910065948963165
