Epoch,Training_MSE,Validation_MSE
1,0.2926341332671448,0.27175289392471313
2,0.2560304997740202,0.27751320600509644
3,0.24617680469513153,0.2636544108390808
4,0.22735558499232367,0.26124775409698486
5,0.21813190489248746,0.25174349546432495
6,0.2132259612585355,0.24286605417728424
7,0.21173609515237066,0.25005900859832764
8,0.20756012610847763,0.2477310597896576
9,0.2065304462861091,0.24324902892112732
10,0.20218667420188327,0.2404468059539795
11,0.2028216644232003,0.2396661639213562
12,0.20163594948651958,0.24051839113235474
13,0.20019638019387961,0.24804449081420898
14,0.20041189484229413,0.24503807723522186
15,0.20188352956068786,0.23711133003234863
16,0.19743962157924694,0.23753535747528076
17,0.1974496870266207,0.23666037619113922
18,0.19472344374100778,0.23660647869110107
19,0.19503327093365547,0.23207417130470276
20,0.19350007269384625,0.24753108620643616
