Epoch,Training_MSE,Validation_MSE
1,0.3037331365577593,0.27565670013427734
2,0.253881407266776,0.2915669083595276
3,0.2422469770600866,0.2666700780391693
4,0.22627536198877488,0.25182563066482544
5,0.22051939660295974,0.2609897255897522
6,0.22196372022202326,0.2554144561290741
7,0.2158102062867552,0.25029152631759644
8,0.2168044901949566,0.24438071250915527
9,0.21448770348393023,0.2437552809715271
10,0.21103107770113935,0.2560637593269348
11,0.20864433957182843,0.24045616388320923
12,0.2060745969015243,0.24785317480564117
13,0.2036278835856772,0.24524888396263123
14,0.20243804518651198,0.2417830526828766
15,0.19950886437634568,0.24685268104076385
16,0.19988949398826333,0.2443631887435913
17,0.1963705981696181,0.24114824831485748
18,0.19372846875662847,0.23368830978870392
19,0.19496044010011213,0.23934300243854523
20,0.19072990222848946,0.22952282428741455
