Epoch,Training_MSE,Validation_MSE
1,0.29510348825122784,0.285402774810791
2,0.2787238336154592,0.2816561162471771
3,0.27203116829289486,0.27972012758255005
4,0.25398459250754024,0.26002103090286255
5,0.23545479570041505,0.2638148069381714
6,0.2272141890184491,0.22734306752681732
7,0.2150117667254684,0.23506993055343628
8,0.20871982122762,0.23466308414936066
9,0.20613532847221114,0.2102174460887909
10,0.19695034620460558,0.21803376078605652
11,0.19310300451969611,0.21795246005058289
12,0.19161227169902134,0.21192970871925354
13,0.18508352658506394,0.21096381545066833
14,0.18690250015696525,0.2115532010793686
15,0.18369415976437772,0.20601767301559448
16,0.1816257687504159,0.21140655875205994
17,0.18431953438621676,0.2027818262577057
18,0.1782360350892307,0.19365587830543518
19,0.17478261326422265,0.1904103308916092
20,0.18005615498977193,0.19878968596458435
