Epoch,Training_MSE,Validation_MSE
1,0.29134135543091605,0.2892948389053345
2,0.2721008962139027,0.2939090132713318
3,0.263591471543369,0.28544941544532776
4,0.25959639172009935,0.27839386463165283
5,0.2376593292551713,0.2728312611579895
6,0.2254074733451724,0.2441127896308899
7,0.22711104139145175,0.2608010172843933
8,0.22116492938742924,0.23753619194030762
9,0.213624682112115,0.2392473667860031
10,0.20896718531719438,0.23992149531841278
11,0.20791454268457868,0.2561635971069336
12,0.20619490148516811,0.23628737032413483
13,0.20300720803948183,0.23890119791030884
14,0.2066688048534765,0.22354362905025482
15,0.19771328697698184,0.22603468596935272
16,0.1945157459920042,0.21705107390880585
17,0.19261707810298578,0.20769308507442474
18,0.19153013884497538,0.20698551833629608
19,0.19277680948406867,0.2058895230293274
20,0.19148587011342974,0.20010420680046082
