Epoch,Training_MSE,Validation_MSE
1,0.2915087554215257,0.28903689980506897
2,0.26298551487006916,0.28610023856163025
3,0.2530886823629092,0.2612661123275757
4,0.23505015169400625,0.25353291630744934
5,0.22159764063562404,0.2851661443710327
6,0.22112445110980924,0.2608877122402191
7,0.20841041889094533,0.24465979635715485
8,0.21031927881503487,0.24922378361225128
9,0.20392765095707102,0.256608247756958
10,0.208475167051337,0.24279655516147614
11,0.2047151966214744,0.2371404618024826
12,0.2026460728557509,0.23962169885635376
13,0.19819487764588828,0.23235945403575897
14,0.19625521733715717,0.2342716008424759
15,0.19793586711554303,0.24437570571899414
16,0.19713823639291125,0.24452224373817444
17,0.1947120108611682,0.23379261791706085
18,0.19359586808321094,0.22995473444461823
19,0.1907206069351612,0.22430813312530518
20,0.19002259178429096,0.22921830415725708
