Epoch,Training_MSE,Validation_MSE
1,0.2846081571069809,0.2842377722263336
2,0.2742196956876431,0.2853928506374359
3,0.26645459039680164,0.2755926251411438
4,0.24981544082377993,0.26297053694725037
5,0.24022761404541168,0.2469678521156311
6,0.23546524830942997,0.24551795423030853
7,0.23494327693714379,0.24346257746219635
8,0.226863474670926,0.25589942932128906
9,0.22952263668182868,0.23943060636520386
10,0.22467856595888952,0.24658319354057312
11,0.22245382902441757,0.24424263834953308
12,0.22651194299185806,0.2357366532087326
13,0.21935614361422479,0.23850077390670776
14,0.21225354400377172,0.23490585386753082
15,0.21105554900974485,0.2363971322774887
16,0.20778233662506138,0.23197679221630096
17,0.21026285711737144,0.22680309414863586
18,0.20575214936862687,0.2258252054452896
19,0.20170912198935523,0.23059159517288208
20,0.19796132125626761,0.22147145867347717
