Epoch,Training_MSE,Validation_MSE
1,0.2921701535216643,0.2818557918071747
2,0.2619020350984046,0.2810615003108978
3,0.256752287282093,0.2782726585865021
4,0.2471333085537279,0.2689869701862335
5,0.22318453411377612,0.2442304491996765
6,0.21240348382142782,0.24999278783798218
7,0.2084568676499532,0.24294042587280273
8,0.20614292767502268,0.241119846701622
9,0.20233055426881613,0.2478230595588684
10,0.20250918585106337,0.2572830319404602
11,0.20265636932986844,0.22635649144649506
12,0.1950820508062853,0.23960599303245544
13,0.19466454420749818,0.22736983001232147
14,0.19070251902016092,0.23007602989673615
15,0.18584812196035808,0.22234514355659485
16,0.18585905011413495,0.22149230539798737
17,0.18397749868444183,0.24650901556015015
18,0.18477760027405055,0.20885425806045532
19,0.18239744336225341,0.20870991051197052
20,0.17550097588860095,0.1950221210718155
