Epoch,Training_MSE,Validation_MSE
1,0.2916329864997481,0.2822153568267822
2,0.255138615239013,0.2686287760734558
3,0.22972946266758465,0.25611644983291626
4,0.221507838279123,0.2520652413368225
5,0.21429434452582705,0.26755231618881226
6,0.20873225219992533,0.2445073425769806
7,0.2088427658747327,0.25038376450538635
8,0.20429598302904564,0.24537597596645355
9,0.2033859959799955,0.24218927323818207
10,0.20250610852461726,0.25328269600868225
11,0.2018118124806846,0.24220912158489227
12,0.20108991733110818,0.23898442089557648
13,0.2018371671471786,0.23898592591285706
14,0.20085352870037115,0.24956996738910675
15,0.1976394108298341,0.2402677685022354
16,0.19767144065258818,0.2402879297733307
17,0.20002297482046896,0.2380472868680954
18,0.19731526127146773,0.2397088259458542
19,0.19919103179248665,0.23720727860927582
20,0.19761254294186084,0.23627470433712006
