Epoch,Training_MSE,Validation_MSE
1,0.3054471409355743,0.29344606399536133
2,0.2691876857727598,0.2770586609840393
3,0.259505073305561,0.28319329023361206
4,0.24566758408769881,0.25419387221336365
5,0.2306361120445123,0.2651626765727997
6,0.223709788753337,0.2572934627532959
7,0.22103535997408363,0.2455795407295227
8,0.21949561360210523,0.2584277093410492
9,0.21840239473830259,0.25075671076774597
10,0.21401943891441588,0.24727295339107513
11,0.21473525212097877,0.24323222041130066
12,0.21140445710087874,0.24211743474006653
13,0.20753656637228188,0.24192863702774048
14,0.20469331732605137,0.25647616386413574
15,0.20472880905881394,0.2474614679813385
16,0.20352634123569943,0.2412213385105133
17,0.2010074061574257,0.2545686364173889
18,0.20119004280523128,0.2441786229610443
19,0.19992508674613202,0.23837129771709442
20,0.19849050746599978,0.23639632761478424
