Epoch,Training_MSE,Validation_MSE
1,0.27689148075114933,0.2881008982658386
2,0.2507020582162359,0.28423601388931274
3,0.2465079453922548,0.2709701955318451
4,0.2318967307579359,0.24602322280406952
5,0.21612128485132645,0.24820072948932648
6,0.21263305826763443,0.2453826516866684
7,0.21602709037840273,0.24379493296146393
8,0.21239342746782422,0.23901288211345673
9,0.2157584084942685,0.2641527056694031
10,0.2162028902767746,0.242486834526062
11,0.21051361089382228,0.24170801043510437
12,0.20303640426829958,0.25131911039352417
13,0.19933161015283904,0.2290707528591156
14,0.19721518183686385,0.22376278042793274
15,0.19475692107108672,0.21493661403656006
16,0.19146915802307884,0.22303524613380432
17,0.18960095414991288,0.2130226492881775
18,0.1891467636986127,0.24982884526252747
19,0.18707949173869406,0.21410346031188965
20,0.1835639911424096,0.21123982965946198
