Epoch,Training_MSE,Validation_MSE
1,0.30054085276556003,0.2860720157623291
2,0.27125573354976945,0.2830784022808075
3,0.2645580066193007,0.27138131856918335
4,0.24447184967602606,0.2548063397407532
5,0.22949977698466295,0.2597446143627167
6,0.21784732785343613,0.2359876185655594
7,0.21797494868902936,0.23454605042934418
8,0.24335814044668375,0.25282207131385803
9,0.22951040707157658,0.2384062558412552
10,0.21588735057174904,0.23011532425880432
11,0.20829618299402183,0.2541811466217041
12,0.20284121009070316,0.23762470483779907
13,0.2052741396377473,0.2541544735431671
14,0.203178090282753,0.22103095054626465
15,0.19516779680420188,0.21702459454536438
16,0.19240068510178107,0.23117764294147491
17,0.19592012105814693,0.22314564883708954
18,0.19384804857451252,0.21206091344356537
19,0.18468109294218263,0.20158028602600098
20,0.18338767466821174,0.19576656818389893
