Epoch,Training_MSE,Validation_MSE
1,0.29490010507822734,0.28243231773376465
2,0.26153530292909516,0.29665201902389526
3,0.256643815388629,0.28007838129997253
4,0.23303650881852564,0.2550031840801239
5,0.2217512216740402,0.2590793967247009
6,0.21752010893784118,0.25363337993621826
7,0.21487936567524366,0.2619033753871918
8,0.21289297958152417,0.24637441337108612
9,0.2077489944024246,0.2524765431880951
10,0.2088429100994431,0.2390359491109848
11,0.2014476271746099,0.2565343976020813
12,0.20025077166791488,0.23249489068984985
13,0.20078683681962295,0.24226391315460205
14,0.19693682704806517,0.23731020092964172
15,0.1956221621855338,0.23005113005638123
16,0.19549289157084984,0.21653351187705994
17,0.19344500779071674,0.20329034328460693
18,0.1882988473442015,0.23726996779441833
19,0.18281427257083563,0.19426430761814117
20,0.17556238872332464,0.21366870403289795
