Epoch,Training_MSE,Validation_MSE
1,0.2834429333448464,0.28222185373306274
2,0.26656854781086153,0.28002873063087463
3,0.26452711462893985,0.2704668939113617
4,0.24479126638524515,0.2510770261287689
5,0.23166821050090708,0.24622364342212677
6,0.2263236271217885,0.25355640053749084
7,0.21914843608664886,0.2563457787036896
8,0.22175001501902775,0.255198210477829
9,0.21336370196649151,0.2483237236738205
10,0.21291882456973696,0.2487039864063263
11,0.21679482153338014,0.24059657752513885
12,0.2136302276838199,0.24130234122276306
13,0.2082730494129091,0.24230772256851196
14,0.2039336930204281,0.23968631029129028
15,0.20348011670576663,0.23867428302764893
16,0.20108153176726615,0.238096222281456
17,0.20568006133061054,0.24486574530601501
18,0.21624079070721802,0.23186415433883667
19,0.2074243748616356,0.22429460287094116
20,0.20236705339929761,0.22704267501831055
