Epoch,Training_MSE,Validation_MSE
1,0.2880890752367405,0.2886735498905182
2,0.26408856114199314,0.2858055531978607
3,0.24509714177248848,0.2784096598625183
4,0.23385748119471336,0.2801876962184906
5,0.21881628278865287,0.25227975845336914
6,0.21446310613144087,0.2506723403930664
7,0.21208264992080794,0.24328403174877167
8,0.21042349650586448,0.24869222939014435
9,0.2085266520235017,0.23896051943302155
10,0.20445094144634363,0.24843893945217133
11,0.2064404718562756,0.23712420463562012
12,0.20667902354212273,0.23599836230278015
13,0.21259535544961658,0.25210562348365784
14,0.2149357408600687,0.23393623530864716
15,0.20767747211171636,0.23991630971431732
16,0.20694199745572883,0.2289736270904541
17,0.20140651128909212,0.2419794499874115
18,0.20038410207190796,0.2379152774810791
19,0.19973120456223661,0.2337806224822998
20,0.2001793957436023,0.2340613305568695
