Epoch,Training_MSE,Validation_MSE
1,0.2918509524512812,0.273345947265625
2,0.25161313255994966,0.2713613510131836
3,0.23958633262366158,0.2641499936580658
4,0.22095289455122924,0.2541586458683014
5,0.2188807226705723,0.25917989015579224
6,0.21392956465032892,0.24185581505298615
7,0.2069383917943291,0.24782732129096985
8,0.20639141366526897,0.244851216673851
9,0.20444832682797542,0.24706973135471344
10,0.20205760739641324,0.24328966438770294
11,0.20242920152693616,0.23514313995838165
12,0.19936814742411652,0.24188105762004852
13,0.19818928576947117,0.23634496331214905
14,0.19555762106031147,0.23258407413959503
15,0.19444221995668545,0.2296859323978424
16,0.19250422482502355,0.22974582016468048
17,0.18915110435080867,0.22900143265724182
18,0.18846547126931149,0.21970491111278534
19,0.19030279136974282,0.23112860321998596
20,0.18699116587276313,0.21496373414993286
