Epoch,Training_MSE,Validation_MSE
1,0.29500177849732856,0.284991055727005
2,0.26391183273242813,0.28319665789604187
3,0.24651954248698613,0.256838858127594
4,0.22782391541362426,0.24768073856830597
5,0.21895255743920145,0.25217118859291077
6,0.21144283392872995,0.26445138454437256
7,0.2099446555661253,0.25269201397895813
8,0.20785985880001195,0.25063973665237427
9,0.21048662054710598,0.24431967735290527
10,0.20517394578746911,0.24408477544784546
11,0.202896027598974,0.24440918862819672
12,0.20439705710860626,0.24329529702663422
13,0.2025104703385434,0.24496591091156006
14,0.2033160307649611,0.24394993484020233
15,0.19780473094530057,0.23644156754016876
16,0.19696425416765517,0.2377411425113678
17,0.19439085128004419,0.23465676605701447
18,0.19317068745690333,0.23096944391727448
19,0.19582613815888544,0.2341659665107727
20,0.1952978613261678,0.24139909446239471
