Epoch,Training_MSE,Validation_MSE
1,0.2958166754327666,0.2896430790424347
2,0.27469105889303613,0.27741730213165283
3,0.26592149010285193,0.26232752203941345
4,0.24736144508319707,0.2524569034576416
5,0.2391800850824505,0.24697966873645782
6,0.23789647095011118,0.25923043489456177
7,0.2330695228430032,0.24170906841754913
8,0.22515257249063242,0.24262666702270508
9,0.21853256018466846,0.2468186616897583
10,0.21309163577990586,0.23929913341999054
11,0.21140702666664854,0.24412193894386292
12,0.2061810794916473,0.23718538880348206
13,0.20763742181867542,0.2306360900402069
14,0.2040999705732661,0.23070205748081207
15,0.2006238157227115,0.2263532280921936
16,0.19751857180508386,0.22652564942836761
17,0.19750868024039736,0.22534988820552826
18,0.19660316215331664,0.22800888121128082
19,0.1972303470463655,0.21190230548381805
20,0.19238542265036965,0.21460093557834625
