Epoch,Training_MSE,Validation_MSE
1,0.29881112993528886,0.28587663173675537
2,0.2712565786023751,0.26969510316848755
3,0.2581452337719079,0.2583678364753723
4,0.24693457540573638,0.2514815926551819
5,0.23972626050922027,0.2498699128627777
6,0.24074981483314242,0.2435697615146637
7,0.2350259615537631,0.24098455905914307
8,0.2359670298369142,0.24071049690246582
9,0.23315640018447667,0.2402404099702835
10,0.22864186717438575,0.23740413784980774
11,0.22810923523813198,0.24586856365203857
12,0.2227492821689231,0.23151586949825287
13,0.22318129321695798,0.24447862803936005
14,0.21507759905527454,0.22989095747470856
15,0.2085668607508983,0.2209940105676651
16,0.21135688871715916,0.22594039142131805
17,0.2073419510304431,0.21079446375370026
18,0.2032349417038559,0.2071990966796875
19,0.21041002642345685,0.22174827754497528
20,0.19910493084212955,0.209895521402359
