Epoch,Training_MSE,Validation_MSE
1,0.32354465486848105,0.2831961214542389
2,0.26833640172235007,0.2756490707397461
3,0.2547913269131644,0.2768734097480774
4,0.23636462666156405,0.2572459876537323
5,0.22727276029001892,0.2442593276500702
6,0.21986835928120627,0.24334414303302765
7,0.21438408597185957,0.2414577752351761
8,0.21340505528031076,0.2505978047847748
9,0.20765710127436918,0.23258207738399506
10,0.20374038007834602,0.23069046437740326
11,0.20562681369777197,0.25793781876564026
12,0.20233552212595912,0.22769084572792053
13,0.19640860962193676,0.2333499640226364
14,0.19409812811957633,0.2293611764907837
15,0.19274587481106206,0.22977657616138458
16,0.19085409505849596,0.2353222519159317
17,0.18981586460810465,0.21843917667865753
18,0.18988850106189153,0.2274133265018463
19,0.18678377496548992,0.21353314816951752
20,0.18625595607744677,0.21360403299331665
