Epoch,Training_MSE,Validation_MSE
1,0.3004046745277735,0.2848227322101593
2,0.27587674400725326,0.28417715430259705
3,0.2737258931394901,0.28187721967697144
4,0.2567942666058122,0.25639069080352783
5,0.23736244183613606,0.24115097522735596
6,0.23191294833718992,0.24533483386039734
7,0.22769318662347168,0.23925022780895233
8,0.2235822266328171,0.24330098927021027
9,0.216259177632363,0.24590244889259338
10,0.2180633586647812,0.23494389653205872
11,0.21209534940941963,0.23569680750370026
12,0.207998110618804,0.2396283745765686
13,0.20640196793719598,0.23001067340373993
14,0.20369052945708177,0.24877120554447174
15,0.20619655705150866,0.24495242536067963
16,0.19853514308702788,0.22895917296409607
17,0.1948741561531564,0.22292746603488922
18,0.1944345214575576,0.22673681378364563
19,0.19453984131064334,0.22838561236858368
20,0.19144868761415174,0.2251109629869461
