Epoch,Training_MSE,Validation_MSE
1,0.3134954566151528,0.2817610204219818
2,0.25763470926083915,0.2797914743423462
3,0.2390357890116199,0.2678567171096802
4,0.22074149884359073,0.24977907538414001
5,0.21615654548685087,0.25173458456993103
6,0.21412376657641935,0.2564590871334076
7,0.20826737512860596,0.23457291722297668
8,0.20928317552134915,0.2618294060230255
9,0.20666640584708926,0.23834775388240814
10,0.20087933446351783,0.23919935524463654
11,0.19648512584933775,0.23936493694782257
12,0.19949333999145674,0.24072670936584473
13,0.2007636907039448,0.24486902356147766
14,0.19506622978791807,0.23399335145950317
15,0.19436315525139364,0.23246803879737854
16,0.1975168806122455,0.23471567034721375
17,0.1914478134507396,0.22688701748847961
18,0.18615007892630342,0.23004619777202606
19,0.18851599218435022,0.21308675408363342
20,0.1850167604502753,0.21874527633190155
