Epoch,Training_MSE,Validation_MSE
1,0.28541513656436607,0.28261542320251465
2,0.27236930575825175,0.29430529475212097
3,0.2717924330733493,0.28475478291511536
4,0.25606928989005856,0.2875899076461792
5,0.2406235922931094,0.2596533000469208
6,0.2262183458660336,0.24688130617141724
7,0.2171324944007394,0.25238874554634094
8,0.21656608618468576,0.30016595125198364
9,0.2254808214225595,0.2430974543094635
10,0.2101069572414195,0.2370869666337967
11,0.20490136674783013,0.23428753018379211
12,0.20660184267727902,0.2475392371416092
13,0.20036030877452896,0.23436833918094635
14,0.1983500775633752,0.23091533780097961
15,0.2022053159439341,0.23652201890945435
16,0.19768230840614126,0.24022828042507172
17,0.20263118840171615,0.2206229716539383
18,0.19235029470869539,0.2231350839138031
19,0.18870113889063014,0.2100905030965805
20,0.18668996984624572,0.21344202756881714
