Epoch,Training_MSE,Validation_MSE
1,0.3040743009998176,0.28489306569099426
2,0.2711854005791792,0.2903873920440674
3,0.2679937671409262,0.2820221185684204
4,0.2521544231584841,0.25954729318618774
5,0.24359217059520968,0.24735680222511292
6,0.23590717656866445,0.24169890582561493
7,0.23194762308752248,0.2489914745092392
8,0.2362073949762872,0.23742960393428802
9,0.2241112109266119,0.23041480779647827
10,0.21870648929411615,0.23450693488121033
11,0.21587469871717144,0.22856567800045013
12,0.21221169905905304,0.23761644959449768
13,0.21734779501490348,0.22131036221981049
14,0.2044640940020927,0.2120857834815979
15,0.19973183448289422,0.2114810049533844
16,0.19562829904028306,0.20081935822963715
17,0.19227782239259217,0.2649949789047241
18,0.20055157925382233,0.22081346809864044
19,0.19927978127234744,0.2091471403837204
20,0.19027393696799044,0.2149006575345993
