Epoch,Training_MSE,Validation_MSE
1,0.30545333760309445,0.28257766366004944
2,0.2611216362276226,0.27386367321014404
3,0.25175232153052707,0.28378090262413025
4,0.24608476546923033,0.2721441686153412
5,0.22532652162047329,0.2606101930141449
6,0.21514752747897603,0.25570106506347656
7,0.21248803818634057,0.26386258006095886
8,0.20731166196140682,0.24392615258693695
9,0.2044432047426392,0.24523720145225525
10,0.20422836541995243,0.25097259879112244
11,0.2022297178659656,0.25669625401496887
12,0.20000620836219585,0.24760524928569794
13,0.19549912621132234,0.2339540719985962
14,0.19310921661204974,0.24017518758773804
15,0.19983141506260702,0.23662027716636658
16,0.19430222896861987,0.22455419600009918
17,0.18981903094540686,0.21926136314868927
18,0.18513084362288482,0.2164994776248932
19,0.18500951011053585,0.22222109138965607
20,0.18709749453009772,0.22019542753696442
