Epoch,Training_MSE,Validation_MSE
1,0.28091677838038903,0.2847422957420349
2,0.26028649886601357,0.27564308047294617
3,0.2512137892077597,0.26991933584213257
4,0.23358148844305474,0.2507789731025696
5,0.22392125450885358,0.24436339735984802
6,0.21819113618244215,0.25717610120773315
7,0.21853413522968584,0.25684934854507446
8,0.2136638918977569,0.25339433550834656
9,0.21351667698183208,0.2641967236995697
10,0.21076410126648498,0.24749359488487244
11,0.20467918572473645,0.2519054710865021
12,0.19687744163733717,0.22007416188716888
13,0.19128792524995716,0.22511756420135498
14,0.18913630404352041,0.20880457758903503
15,0.17946128525036256,0.2016468495130539
16,0.17796012072056686,0.2020900547504425
17,0.17366890426986145,0.21015949547290802
18,0.17501152465071704,0.2002856731414795
19,0.1781197172728281,0.22021636366844177
20,0.16885335485619396,0.19309577345848083
