Epoch,Training_MSE,Validation_MSE
1,0.2920721107693131,0.28254076838493347
2,0.26782605429978273,0.2643917202949524
3,0.2408440866652145,0.26026007533073425
4,0.22637579472759442,0.27558231353759766
5,0.21854201261324238,0.2519862651824951
6,0.21115868453521347,0.2474069744348526
7,0.21143847739852262,0.265916109085083
8,0.20556575397256527,0.2528173625469208
9,0.20106821940420017,0.242388054728508
10,0.2016692607889951,0.25131499767303467
11,0.19823347867931645,0.24646136164665222
12,0.19723198529459599,0.23685882985591888
13,0.19515625542349901,0.22852005064487457
14,0.19326819017895386,0.23644214868545532
15,0.200885293293198,0.24192868173122406
16,0.20565658005797452,0.2319515347480774
17,0.20004273241410575,0.21946854889392853
18,0.1938669196413723,0.22086858749389648
19,0.19014398825480128,0.21068857610225677
20,0.1860143171724475,0.21063560247421265
